LP,IAUNo,AdNo,Code,s,sub.date,shower name-designation,activity,LoSb,LoSe,LoS,Ra,De,dRa,dDe,Vg,LoR,S_LoR,LaR,theta,phi,Flags,a,q,e,peri,node,inc,N,Group,CG,Origin,Remarks,OTe,L-T,References
1574,1085,0,NCQ,0,yyyy-mm-dd,Northern chi-Aquariids                  , annual ,       ,       ,150.7,355.7,3.6,       ,       ,39.1,357.49,206.79,5.01,116.68,264.39,       ,2.37,0.089,0.964,329.4,150.7,16,597,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1575,1086,0,SCQ,0,yyyy-mm-dd,Southern chi-Aquariids                  , annual ,       ,       ,143.9,354.8,-6.9,       ,       ,40.8,352.49,208.59,-4.27,118.5,274.86,       ,2.5,0.062,0.975,154.3,323.9,16.6,91,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1576,1087,0,OOE,0,yyyy-mm-dd,omicron1-Eridanids                      , annual ,       ,       ,167.3,59,-2.3,       ,       ,63.7,56.24,248.94,-22.18,149.78,318.6,       ,16.1,0.717,0.955,65.8,347.3,136.5,135,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1577,1088,0,SEE,0,yyyy-mm-dd,17-Eridanids                            , annual ,       ,       ,166.5,49.9,-5.6,       ,       ,60.5,45.82,239.32,-23.1,142.28,309.89,       ,30.6,0.515,0.983,89.2,346.5,127.4,139,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1578,1089,0,CTS,0,yyyy-mm-dd,September tau-Cetids                    , annual ,       ,       ,185.1,23.5,-17.4,       ,       ,33.4,14.74,189.64,-25.2,98.71,295.51,       ,22.8,0.463,0.979,95.2,5.1,29.9,32,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1579,1090,0,EOR,0,yyyy-mm-dd,eta-Orionids                            , annual ,       ,       ,196.5,78.2,-1.3,       ,       ,60.7,77.05,240.55,-24.21,142.58,312.44,       ,28,0.536,0.98,86.6,16.5,126.3,122,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1580,1091,0,OEH,0,yyyy-mm-dd,78-Virginids                            , annual ,       ,       ,196.5,203.4,2.6,       ,       ,67.6,200.67,4.17,11.5,85.91,101.53,       ,15,0.814,0.945,308.5,23.4,149.9,159,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1581,1092,0,FLM,0,yyyy-mm-dd,43-Leonis Minorids                      , annual ,       ,       ,225.7,162.4,29.7,       ,       ,67,152.12,286.42,20.49,153.96,142.9,       ,20.3,0.824,0.959,130.1,225.7,142.2,29,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1582,1093,0,NCB,0,yyyy-mm-dd,November Comae Berenicids               , annual ,       ,       ,238.5,181.9,20.6,       ,       ,65.1,173.2,294.7,19.58,148.86,130.4,       ,36,0.623,0.983,104.1,238.5,139.7,53,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1584,1095,0,EPX,0,yyyy-mm-dd,epsilon-Sextantids                      , annual ,       ,       ,253.1,155.5,-9.5,       ,       ,69.9,160.97,267.87,-18.31,161.57,353.58,       ,175.5,0.981,0.994,7.4,73.1,149,48,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1585,1096,0,NAC,0,yyyy-mm-dd,November alpha-Corvids                  , annual ,       ,       ,246.2,164.7,-15.2,       ,       ,67.2,172.09,285.89,-19.99,154.67,36.97,       ,29.5,0.812,0.973,310.1,66.2,142.6,66,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1586,1097,0,DOH,0,yyyy-mm-dd,December omega-Hydrids                  , annual ,       ,       ,273.4,134.8,3.1,       ,       ,54.2,136.33,222.93,-13.43,131.49,288.06,       ,9.98,0.102,0.989,143.6,93.4,113.9,56,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1587,1098,0,EMI,0,yyyy-mm-dd,eta-Canis Minorids                      , annual ,       ,       ,271.9,109.2,5.6,       ,       ,38.4,109.96,198.06,-16.52,107.29,287.32,       ,10.8,0.263,0.977,118.7,91.9,29.8,76,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1588,1099,0,JED,0,yyyy-mm-dd,January eta-Draconids                   , annual ,       ,       ,287.6,237.3,62.6,       ,       ,37.3,180.5,252.9,75.6,103.75,184.32,       ,25.6,0.979,0.962,187.4,287.5,59.5,28,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1589,1100,0,XLU,0,yyyy-mm-dd,xi2-Lupids                              , annual ,       ,       ,308.7,240.3,-34.7,       ,       ,65.3,245.2,296.5,-13.78,150.36,61.2,       ,17.9,0.524,0.97,273,149.9,108.7,28,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1591,1102,0,GLU,0,yyyy-mm-dd,gamma-Lupids                            , annual ,       ,       ,326.7,234.6,-38.9,       ,       ,69.4,241.54,274.84,-18.89,160.52,13.86,       ,61.4,0.969,0.984,344,146.6,147.5,6,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1592,1103,0,FBI,0,yyyy-mm-dd,January 15-Bootids                      , annual ,       ,       ,300.8,216.4,9.9,       ,       ,68,210.55,269.75,22.97,157.03,180.59,       ,18.4,0.984,0.947,180.5,300.8,140.6,38,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1593,1104,0,APO,0,yyyy-mm-dd,Apodids                                 , annual ,       ,       ,311.3,266.2,-76,       ,       ,44.4,268.49,317.19,-52.58,114.39,29.3,       ,16.6,0.789,0.954,304,131.3,72.9,41,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
1594,1105,0,UPV,0,yyyy-mm-dd,upsilon-Virginids                       , annual ,       ,       ,343.4,213.5,-3.5,       ,       ,59.6,212.47,229.07,9.39,138.2,255.83,       ,24.7,0.169,0.993,311.7,343.4,24.7,14,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1) Jenniskens, 2022, submitted  "
