LP,IAUNo,AdNo,Code,s,sub.date,shower name-designation,activity,LoSb,LoSe,LoS,Ra,De,dRa,dDe,Vg,LoR,S_LoR,LaR,theta,phi,Flags,a,q,e,peri,node,inc,N,Group,CG,Origin,Remarks,OTe,L-T,References
858,421,0,MMI,0,2010-mm-dd,May Microscopiids                       , annual ,       ,       ,57.9,309.4,-42.7,       ,       ,60.2,300.54,242.64,-23.35,144.63,313.2,1,5.599,0.587,0.882,83.8,237.9,129.5,5,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2010MNRAS.404..867J' target=_blank>Jopek et al., 2010</A>"
859,422,0,NLL,-3,2010-mm-dd,Northern Librids-Lupids                 , annual ,       ,       ,67.8,227.9,-17.4,       ,       ,13.3,230.23,162.43,0.42,72.43,269.56,1,1.845,0.834,0.548,239.9,67.9,0.2,1,0,0,                                        ,Northern branch of Librids-Lupids (422 & 423)                                                                                                         ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2010MNRAS.404..867J' target=_blank>Jopek et al., 2010</A>"
860,423,0,SLL,0,2010-mm-dd,Southern Librids-Lupids                 , annual ,       ,       ,64.9,235.5,-30.8,       ,       ,20.8,240.31,175.41,-10.85,85.49,280.88,1,2.239,0.641,0.714,81.4,245.4,7.1,15,0,0,                                        ,Southern branch of Librids-lupids (422 & 423)                                                                                                         ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2010MNRAS.404..867J' target=_blank>Jopek et al., 2010</A>"
862,424,1,SOL,-2,23/08/2015,September-October Lyncids               , annual ,       ,       ,178,121,47.8,1.29,-0.21,62.4,112.8,294.8,26.79,144.13,140.27,       ,24.22,0.702,0.984,113,177.9,126,6,0,0,                                        ,Not in the specified paper !?!                                                                                                                        ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
863,424,3,SOL,0,01/05/2023,September-October Lyncids               , annual ,170.26,189.42,179.59,107.9,49.8,1.44,-0.11,64.5,102.88,283.29,27.16,149.99,155.86,       ,19.3,0.906,0.953,143.3,179.6,131.4,36,0,0,                                        ,                                                                                                                                                      ,T   ,424SOL_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
865,425,1,PSA,-2,23/08/2015,psi-Aurigids                            , annual ,       ,       ,195,119.2,44.3,1.25,-0.2,66,112.31,277.31,23.1,155.84,163.39,       ,4.04,0.958,0.864,154.3,194.4,139.1,20,0,0,                                        ,Not in the specified paper ?!?                                                                                                                        ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
866,425,2,PSA,0,01/05/2023,psi-Aurigids                            , annual ,185.78,212.39,199.42,119.1,42.8,1.28,-0.29,67.2,112.57,273.15,21.61,158.17,172.1,       ,9.9,0.991,0.9,171,199.4,142.2,28,0,0,                                        ,                                                                                                                                                      ,T   ,425PSA_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
869,427,1,FED,1,23/08/2015,February eta-Draconids                  , annual ,314,316,315,239.6,62.4,0.26,-0.2,35.1,183.45,228.45,76.42,100.12,189.11,  M   1,18.6,0.971,0.975,194.3,315.1,54.7,9,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
870,427,5,FED,1,01/05/2023,February eta-Draconids                  , annual ,310.17,315.55,314.55,240.3,62.1,-0.73,-0.36,34.8,185.27,230.72,76.54,100.38,188.62,       ,15.9,0.971,0.938,193.9,314.5,54.7,9,0,0,                                        ,                                                                                                                                                      ,T   ,427FED_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
872,428,1,DSV,1,2016-mm-dd,December sigma-Virginids                , annual ,249,271,262,200.8,5.8,0.9,-0.37,66.2,196.98,294.98,13.49,151.82,119.6,  M   1,8.18,0.565,0.971,97.9,261.8,151.5,22,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..355J' target=_blank>Jenniskens et al., 2016</A>"
873,428,3,DSV,1,01/05/2023,December sigma-Virginids                , annual ,241.52,299.41,271.14,208.1,4.5,0.82,-0.21,66.5,204.44,293.3,15,152.52,124.11,       ,22.7,0.617,0.973,104.1,271.1,149.4,309,0,0,                                        ,                                                                                                                                                      ,T   ,428DSV_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
876,429,2,ACB,2,2016-mm-dd,alpha-Coronae Borealids                 , annual ,306,316,308,231.7,27.7,0.75,-0.24,57,219.52,271.52,44.66,135.32,178.47,  M   1,16.9,0.984,0.943,176.3,307.8,104.1,11,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..355J' target=_blank>Jenniskens et al., 2016</A>"
878,429,5,ACB,2,01/05/2023,alpha-Coronae Borealids                 , annual ,307.21,311.68,308.87,232.5,26.8,1.55,-0.65,58.3,220.88,272.01,44.06,135.91,177.92,       ,39.9,0.982,0.975,175.4,308.9,106,16,0,0,                                        ,                                                                                                                                                      ,T   ,429ACB_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
881,431,1,JIP,1,2016-mm-dd,June iota-Pegasids                      , annual ,91,96,94,332.1,29.1,0.81,0.35,58.5,346.76,252.76,37.51,139.26,201.11,  M   1,7.44,0.903,0.928,219.9,94.1,112.8,11,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..355J' target=_blank>Jenniskens et al., 2016</A>"
882,431,4,JIP,1,01/05/2023,June iota-Pegasids                      , annual ,90.07,95.05,93.73,331.5,29.2,1.02,0.03,59.1,346.22,252.49,37.83,138.88,201.18,       ,179.6,0.903,0.995,219.1,93.7,112.7,13,0,0,                                        ,                                                                                                                                                      ,T   ,431JIP_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
883,432,0,NBO,0,30/07/2011,nu-Bootids                              ,1992/09 ,       ,       ,299.18,206,12.6,       ,       ,62.8,199.22,260.04,21.74,156.19,203.46,       ,2.75,0.85,0.691,221.7,299.8,140.5,8,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
884,433,0,ETP,0,30/07/2011,eta-Pegasids                            ,1992/09 ,       ,       ,135.4,334.6,32.7,       ,       ,34.5,351.3,215.9,39.74,116.81,224.26,       ,1.46,0.46,0.685,293.1,134.8,55.1,6,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
885,434,0,BAR,0,30/07/2011,beta-Arietids                           ,1992/09 ,       ,       ,135.38,28.8,21.9,       ,       ,65.5,34.48,259.1,9.46,165.61,228.6,       ,3.25,0.882,0.728,226.2,135,161.1,6,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
886,435,0,MPR,0,30/07/2011,mu-Perseids                             ,1992/09 ,       ,       ,139.64,70.4,50,       ,       ,54.2,75.93,296.29,27.51,142.67,139.63,       ,1.91,0.592,0.691,88.4,139.5,121.3,5,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
887,436,0,GCP,0,30/07/2011,gamma-Cepheids                          ,1992/09 ,       ,       ,234.99,47.6,79.5,       ,       ,33.8,76.57,201.58,58.06,101.22,210.1,       ,6.12,0.83,0.864,228.9,235.6,51.6,4,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
888,437,0,NLY,0,30/07/2011,November Lyncids                        ,1992/09 ,       ,       ,237.92,141.8,40,       ,       ,60.6,131.09,253.17,23.66,151.25,213.46,       ,2.57,0.748,0.709,246.1,237.9,132.5,8,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
889,438,0,MLE,0,30/07/2011,mu-Leonids                              ,1992/09 ,       ,       ,235.7,142.4,29.3,       ,       ,66,135.34,259.64,13.73,162.86,216.36,       ,3.31,0.86,0.74,225.2,235.8,153.6,7,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
890,439,0,ASX,0,30/07/2011,alpha-Sextantids                        ,1992/09 ,       ,       ,237.37,154.6,-3.4,       ,       ,68.8,157.73,280.36,-12.99,163.44,37.95,       ,16.9,0.898,0.947,325.3,56.6,155.6,6,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
892,439,2,ASX,0,2016-mm-dd,alpha-Sextantids                        , annual ,227,235,232,148.8,-3.9,0.91,-0.34,69,152.35,280.35,-15.54,161.4,32.85,  M   1,29.4,0.896,0.97,323.3,51.9,152.6,6,0,0,                                        ,In Jenniskens et al. 2016 the shower was named 483/NAS                                                                                                ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
893,439,3,ASX,0,01/05/2023,alpha-Sextantids                        , annual ,200.37,249.83,227.39,146.3,-3.9,0.77,-0.21,68.9,149.92,282.53,-16.42,159.46,36.36,       ,29.9,0.876,0.971,320.7,47.4,150.8,158,0,0,                                        ,                                                                                                                                                      ,T   ,439ASX_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
894,440,0,NLM,0,30/07/2011,November Leonis Minorids                ,1992/09 ,       ,       ,237.99,162.2,33,       ,       ,65.2,150.5,272.51,23.44,156.44,174.24,       ,3.83,0.959,0.75,171,237.4,138.9,9,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
895,441,0,NLD,0,30/07/2011,November lambda-Draconids               ,1992/09 ,       ,       ,236.07,177.3,70.4,       ,       ,41.7,130.72,254.65,59.1,119.69,189,       ,2.57,0.953,0.63,200.8,236,74.8,9,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
896,442,0,RLE,0,30/07/2011,rho-Leonids                             ,1992/09 ,       ,       ,262.18,155.6,5.2,       ,       ,65.6,155.49,253.31,-4.62,162.7,285.71,       ,3,0.686,0.771,72.8,82.2,170.8,12,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
897,443,0,DCL,0,30/07/2011,December Leonids                        ,1992/09 ,       ,       ,262.19,155.3,20.8,       ,       ,64.1,149.53,247.34,9.81,155.41,245.82,       ,3.27,0.539,0.835,270.1,262.3,159,19,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40...24S' target=_blank>Shigeno & Yamamoto, 2012</A>"
898,444,0,ZCS,2,2012-06-dd,zeta-Cassiopeiids                       ,2007/11 ,       ,       ,113.2,6.9,50.7,1.4,0.5,57.3,30.99,277.79,42.82,136.61,171.68,       ,19.6,0.9951,0.949,163.6,113.2,107.5,55,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2012JIMO...40..195S' target=_blank>Segon et al., 2012</A"
900,444,2,ZCS,2,23/08/2015,zeta-Cassiopeiids                       , annual ,102,118,109,3.1,49.5,0.95,0.4,57.1,27.3,278.3,43.13,136.23,171.24,  M   1,12.8,1,0.962,165.4,112.1,106.6,118,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
901,444,4,ZCS,2,01/05/2023,zeta-Cassiopeiids                       , annual ,106.4,118.89,114.29,9.1,51.1,1.71,0.3,57.5,32.87,278.58,42.42,136.89,170.73,       ,23.5,0.992,0.958,162.3,114.3,108.1,133,0,0,                                        ,                                                                                                                                                      ,T   ,444ZCS_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
903,445,2,KUM,1,01/05/2023,kappa-Ursae Majorids                    , annual ,212.88,238.7,225.12,146.9,44.9,1.25,-0.25,65.1,133.03,267.91,29.59,150.35,183.68,       ,20.1,0.987,0.951,186.9,225.1,129.4,116,0,0,                                        ,                                                                                                                                                      ,T   ,445KUM_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
904,446,0,DPC,1,2016-mm-dd,December phi-Cassiopeiids               , annual ,246,258,252,19.5,57.7,1.14,0.37,16.5,44.78,152.78,44.79,71.06,221.85,  M   1,3.1,0.896,0.714,218.7,252.1,18,68,0,0,3D/Biela?                               ,                                                                                                                                                      ,T   ,LookUp table file name,"1] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..384J' target=_blank>Jenniskens et al., 2016</A>"
905,446,2,DPC,1,16/11/2022,December phi-Cassiopeiids               ,2011,251.725,252.819,252.2,19.6,57.7,-0.87,0.87,16.4,44.85,152.65,44.77,70.96,221.84,       ,3.03,0.897,0.704,218.6,252.2,18,18,0,0,                                        ,                                                                                                                                                      ,T   ,446_DPC.csv           ,"3) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
911,450,1,AED,0,2016-mm-dd,April epsilon-Delphinids                , annual ,12,27,20,307.1,11.6,0.85,0.24,61.3,312.86,292.86,29.69,143.18,145.73,  M   1,13.8,0.747,0.975,119.4,17,122.7,6,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens & Nenon, 2016</A>"
912,450,3,AED,0,01/05/2023,April epsilon-Delphinids                , annual ,12.44,31.17,20.08,307.8,11.5,0.93,0.35,61,313.58,293.5,29.4,143.03,144.71,       ,23,0.723,0.969,115.8,20.1,122.5,43,0,0,                                        ,                                                                                                                                                      ,T   ,450AED_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
915,451,2,CAM,0,2016-mm-dd,Camelopardalids                         , annual ,29,59,39,170.9,76.8,1.17,-0.39,14,118.21,79.21,61.51,62.06,174.2,  M   1,2.73,0.999,0.633,167.6,39.1,19.1,19,0,0,209P/LINEAR                             ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens & Neon, 2016 </A>"
922,456,2,MPS,2,2016-mm-dd,May psi-Scorpiids                       , annual ,55,72,63,245.6,-10.9,0.99,-0.16,25.1,245.63,182.63,10.5,92.59,259.49,  M   1,2.66,0.523,0.797,275.1,59.8,9.2,18,0,0,"?2009 KM,                               ",                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens & Neon, 2016</A>"
923,456,4,MPS,2,16/11/2022,May psi-Scorpiids                       , annual ,50.307,88.252,67.6,246.9,-9.5,0.56,0.21,23.8,246.69,179.09,12.09,89.11,257.91,       ,2.773,0.582,0.79,267.8,67.6,9.2,160,0,0,                                        ,                                                                                                                                                      ,T   ,456_MPS.csv           ,"5) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
927,458,2,JEC,0,2016-mm-dd,June epsilon-Cygnids                    , annual ,82,85,83,316.1,33.7,0.73,0.29,53,332.76,249.76,47.61,129.24,197.53,  M   1,11.6,0.923,0.923,215.6,83.4,96.4,11,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..355J' target=_blank>Jenniskens et al., 2016</A>"
928,458,4,JEC,0,01/05/2023,June epsilon-Cygnids                    , annual ,81.88,83.5,82.51,315.1,33.6,1.98,0.29,53.3,331.58,249.07,47.87,128.8,197.91,       ,104.4,0.922,0.991,215.4,82.5,95.9,13,0,0,                                        ,                                                                                                                                                      ,T   ,458JEC_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
930,459,1,JEO,0,23/08/2015,June epsilon-Ophiuchids                 , annual ,77,96,89,244.7,-8.8,0.97,-0.17,14.9,244.38,155.38,12.42,65.99,256.39,  M   1,2.53,0.866,0.659,230.3,89.1,4.9,13,0,0,P/2005 JQ5 (Catalina)                   ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
931,459,3,JEO,0,16/11/2022,June epsilon-Ophiuchids                 ,2019,92.43,95.53,92.9,245.7,-7.8,-0.02,0.35,13.7,245.2,152.3,13.57,63.14,254.75,       ,2.625,0.891,0.661,226.4,92.9,5.2,12,0,0,                                        ,                                                                                                                                                      ,T   ,459_JEO.csv           ,"4) <A href='https://ui.adsabs.harvard.edu/abs/2022JIMO...50...38S/abstract' target=_blank>Shiba, 2022.</a>"
934,460,2,LOP,2,2016-mm-dd,lambda-Ophiuchids                       , annual ,73,99,91,260,-4.1,0.95,-0.07,19.4,259.45,168.45,18.97,79.08,250.66,  M   1,3.03,0.752,0.75,246.7,89.1,10.7,63,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
942,464,2,KLY,0,2016-mm-dd,kappa-Lyrids                            , annual ,119,129,125,276.7,33.5,0.33,0.03,19,280.21,155.21,56.7,76.69,210.81,  M   1,3.39,0.939,0.722,214.6,125.5,25.4,8,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
945,465,2,AXC,0,2016-mm-dd,August xi-Cassiopeiids                  , annual ,135,138,136,5.2,48.6,0.96,0.4,56.5,28.22,252.22,41.63,135.37,198.96,  M   1,15.3,0.91,0.94,217.8,136.1,106.1,7,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
946,465,4,AXC,0,01/05/2023,August xi-Cassiopeiids                  , annual ,130.68,138.28,134.03,4,49.3,0.86,0.36,56,27.82,253.79,42.65,134.94,196.86,       ,13.9,0.927,0.933,214.5,134,105,29,0,0,                                        ,                                                                                                                                                      ,T   ,465AXC_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
949,466,2,AOC,0,2016-mm-dd,August omicron-Cetids                   , annual ,133,144,138,29.8,-0.1,0.92,0.34,66.4,27.68,249.68,-11.5,156.78,300.36,  M   1,13.2,0.695,0.95,68.3,318.3,157.2,13,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
957,470,2,AMD,2,23/08/2015,August mu-Draconids                     , annual ,145,158,149,256.4,62.5,0.18,-0.09,21.3,208.49,59.49,82.9,83.89,176.38,  M   1,2.87,1.009,0.648,175.5,149.5,33.8,53,0,0,2008 ED69                               ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
976,479,2,SOO,2,23/08/2015,September omicron-Orionids              , annual ,180,195,187,80.9,12.5,1.01,0.06,67.6,80.96,253.96,-10.65,160.82,304.25,  M   1,8.11,0.777,0.911,57.6,7.7,159.9,40,0,0,                                        ,The Halley Complex                                                                                                                                    ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..331J' target=_blank>Jenniskens et al., 2016</A>"
979,480,2,TCA,0,2016-mm-dd,tau-Cancrids                            , annual ,203,208,206,137.1,29.4,1.07,-0.29,67.2,130.8,284.8,12.39,160.79,130.69,  M   1,4.88,0.816,0.835,126.9,205.6,156.9,11,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..355J' target=_blank>Jenniskens et al., 2016</A>"
980,480,4,TCA,0,01/05/2023,tau-Cancrids                            , annual ,190.09,228.49,211.48,141.5,30,0.97,0.03,67.7,134.34,282.86,14.14,160.97,138.54,       ,6.22,0.861,0.862,135.6,211.5,153.8,128,0,0,                                        ,                                                                                                                                                      ,T   ,480TCA_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
983,481,2,OML,0,2016-mm-dd,October mu-Leonids                      , annual ,216,221,219,148.3,29.2,1.03,-0.34,67.6,140.38,281.38,15.38,160.95,144.35,  M   1,5.02,0.892,0.825,140.9,218.8,151.8,8,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
986,483,1,NAS,-4,2016-mm-dd,November alpha-Sextantids               , annual ,227,235,232,148.8,-3.9,0.91,-0.34,69,152.35,280.35,-15.54,161.4,32.85,       ,29.4,0.896,0.97,323.3,51.9,152.6,6,0,0,                                        ,"Duplicate of 439: Jenniskens et al. (2016) Icarus 266, 371.                                                                                           ",T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
991,486,1,NZP,0,2016-mm-dd,November zeta-Perseids                  , annual ,231,244,240,68,32.8,1.16,0.15,29.5,71.3,191.3,10.78,101.1,259.01,  M   1,2.59,0.364,0.858,290.5,239.6,12.9,11,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
994,488,1,NSU,0,2016-mm-dd,November sigma-Ursae Majorids           , annual ,242,244,243,151.2,58.2,1.22,-0.35,55.1,128.96,245.96,42.75,132.12,203.78,  M   1,14.4,0.818,0.935,230,242.5,100.2,4,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016</A>"
995,488,3,NSU,0,01/05/2023,November sigma-Ursae Majorids           , annual ,238.35,249.58,242.41,149.6,59.2,1.1,-0.28,55,127.32,244.91,43.24,131.28,204.28,       ,23.6,0.816,0.965,229.7,242.4,99.3,30,0,0,                                        ,                                                                                                                                                      ,T   ,488NSU_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
998,490,1,DGE,0,2016-mm-dd,December delta-Eridanids                , annual ,243,258,254,73.3,-7.6,0.87,0.11,24.7,70.81,176.81,-29.93,87.24,299.97,  M   1,4.43,0.666,0.851,72.5,73.3,22.2,20,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016 </A>"
1000,491,1,DCC,0,2016-mm-dd,December delta-Cancrids                 , annual ,244,254,248,129.7,13.3,0.98,-0.25,64.3,128.61,240.61,-4.98,150.23,280.06,  M   1,9.13,0.381,0.958,105,67.7,162.9,27,0,0,1P/Halley                               ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016 </A>"
1003,493,1,DEC,0,2016-mm-dd,December epsilon-Craterids              , annual ,247,256,253,165.9,-10.7,0.9,-0.39,69.8,171.3,278.3,-15.4,162.55,27.67,  M   1,21.4,0.923,0.957,330.8,73.4,153.2,10,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016 </A>"
1004,493,2,DEC,0,01/05/2023,December epsilon-Craterids              , annual ,250.87,317.78,279.2,186.4,-17,0.82,-0.32,70.6,192.7,273.5,-13.05,166.5,14.74,       ,17.4,0.968,0.944,349,99.2,157.1,205,0,0,                                        ,                                                                                                                                                      ,T   ,493DEC_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
1006,494,1,DEL,0,2016-mm-dd,December Lyncids                        , annual ,251,255,252,127.7,49.4,1.28,-0.25,51.7,117.2,225.2,29.46,128.16,231.29,  M   1,5.57,0.363,0.933,286.6,251.8,93.8,5,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016 </A>"
1007,494,3,DEL,0,01/05/2023,December Lyncids                        , annual ,230.23,259.77,245.53,125.8,51.3,0.92,-0.15,54.5,115.24,229.71,30.95,130.86,227.15,       ,21.4,0.462,0.978,274.4,245.5,100.7,58,0,0,                                        ,                                                                                                                                                      ,T   ,494DEL_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
1012,497,2,DAB,0,2016-mm-dd,December alpha-Bootids                  , annual ,261,268,264,213,21.9,0.83,-0.33,59.8,202.06,298.06,32.9,137.81,143.99,  M   1,62.1,0.683,0.989,113.2,264.3,113.5,8,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"3] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens & Nenon, 2016</A>"
1013,497,4,DAB,0,01/05/2023,December alpha-Bootids                  , annual ,257.41,270.34,263.49,212.5,22.2,0.94,-0.31,59.3,201.41,297.92,32.99,137.83,144.2,       ,22.4,0.68,0.97,111.8,263.5,113,34,0,0,                                        ,                                                                                                                                                      ,T   ,497DAB_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
1015,498,1,DMH,0,2016-mm-dd,December mu-Hydrids                     , annual ,265,274,269,156.8,-25.9,0.83,-0.36,63.7,169.62,260.62,-32.8,146.03,345.81,  M   1,26.5,0.937,0.964,25.1,88.8,123.1,24,0,0,                                        ,                                                                                                                                                      ,T   ,LookUp table file name,"2] <A href='http://adsabs.harvard.edu/abs/2016Icar..266..371J' target=_blank>Jenniskens et al., 2016 </A>"
1016,498,2,DMH,0,01/05/2023,December mu-Hydrids                     , annual ,250.52,289.81,271.78,159,-26,0.98,-0.22,63.6,171.78,260,-32.03,146.61,344.49,       ,16.1,0.929,0.942,27.5,91.8,124.2,117,0,0,                                        ,                                                                                                                                                      ,T   ,498DMH_Shiba.csv      ,"1) Shiba,2023, submitted to wgn.     "
