Last Update: 2024-10-04 22:10 UTC
            Object         |    Diameter    |             VI Max                                   |          VIs                  |
 Num/des.       Name       |   m  |   *=Y   |      Date/Time   |  IP max  | PS max |TS  | Vel km/s | Years     | IP cum   | PS cum |
AAAAAAAAA AAAAAAAAAAAAAAAA | NNNN |    A    | YYYY-MM-DD HH:MM | EEEEEEEE | NNN.NN | NN |  NNN.NN  | YYYY-YYYY | EEEEEEEE | NNN.NN |
1994GK                     |   50 |    *    | 2061-04-03 15:30 |  5.17E-6 |  -4.71 |  0 |   18.60  | 2044-2073 |  5.53E-6 |  -4.68 |
2021WA1                    |   11 |    *    | 2116-11-27 21:44 |  5.20E-4 |  -4.73 |  0 |   17.82  | 2116-2120 |  5.96E-4 |  -4.67 |
1995CS                     |   28 |    *    | 2042-02-03 14:40 |  4.66E-6 |  -4.73 |  0 |   27.80  | 2042-2062 |  5.16E-6 |  -4.71 |
2011XC2                    |   90 |    *    | 2056-12-02 09:55 |  7.40E-7 |  -4.74 |  0 |   23.57  | 2056-2056 |  7.40E-7 |  -4.74 |
2016RD34                   |   11 |    *    | 2051-05-18 21:48 |  3.42E-4 |  -4.74 |  0 |   11.24  | 2051-2122 |  7.43E-4 |  -4.45 |
2023XE3                    |   12 |    *    | 2080-11-03 05:59 |  4.78E-4 |  -4.74 |  0 |   11.36  | 2053-2119 |  6.90E-4 |  -4.49 |
2008EZ84                   |   20 |    *    | 2073-03-09 23:41 |  8.09E-5 |  -4.76 |  0 |   13.69  | 2072-2122 |  1.69E-4 |  -4.45 |
2024RW13                   |   14 |    *    | 2093-09-10 22:48 |  9.65E-5 |  -4.77 |  0 |   24.95  | 2085-2097 |  1.33E-4 |  -4.63 |
2020XF                     |   16 |    *    | 2089-11-30 12:04 |  2.52E-4 |  -4.77 |  0 |   11.65  | 2056-2121 |  6.16E-4 |  -4.28 |
2019LU1                    |   50 |    *    | 2056-06-05 11:10 |  1.51E-6 |  -4.80 |  0 |   33.70  | 2056-2070 |  1.63E-6 |  -4.77 |
2008ST7                    |   50 |    *    | 2094-09-10 01:43 |  9.45E-6 |  -4.80 |  0 |   15.00  | 2074-2105 |  2.67E-5 |  -4.38 |
2009TD17                   |   10 |    *    | 2039-05-08 11:35 |  1.42E-4 |  -4.80 |  0 |   12.74  | 2039-2122 |  3.47E-4 |  -4.43 |
2010JH110                  |   20 |    *    | 2092-06-03 17:16 |  1.14E-4 |  -4.81 |  0 |   13.79  | 2071-2120 |  1.45E-4 |  -4.71 |
2013EV27                   |   15 |    *    | 2038-02-28 23:43 |  3.84E-5 |  -4.81 |  0 |   16.67  | 2038-2063 |  3.86E-5 |  -4.81 |
2021UJ6                    |    8 |    *    | 2055-06-06 05:09 |  2.40E-4 |  -4.82 |  0 |   20.78  | 2055-2110 |  2.50E-4 |  -4.80 |
2024MH1                    |   29 |    *    | 2104-07-23 15:44 |  5.27E-5 |  -4.82 |  0 |   12.71  | 2102-2122 |  5.32E-5 |  -4.82 |
2019WU2                    |   40 |    *    | 2093-11-04 16:01 |  1.09E-5 |  -4.82 |  0 |   16.06  | 2086-2109 |  1.31E-5 |  -4.74 |
2000WJ107                  |   60 |    *    | 2119-11-20 05:43 |  4.30E-6 |  -4.83 |  0 |   16.97  | 2110-2119 |  7.64E-6 |  -4.57 |
2011UM169                  |   30 |    *    | 2102-10-24 12:31 |  2.11E-5 |  -4.83 |  0 |   17.89  | 2099-2107 |  3.39E-5 |  -4.63 |
2006CM10                   |  160 |    *    | 2092-08-12 11:24 |  2.80E-7 |  -4.84 |  0 |   24.98  | 2092-2092 |  2.80E-7 |  -4.84 |
2024HJ                     |  230 |    *    | 2099-04-24 18:28 |  7.94E-8 |  -4.84 |  0 |   31.51  | 2099-2099 |  1.27E-7 |  -4.63 |
2019QR3                    |   13 |    *    | 2078-08-31 22:35 |  1.77E-4 |  -4.86 |  0 |   15.67  | 2078-2087 |  2.62E-4 |  -4.69 |
2014JU15                   |   40 |    *    | 2079-04-29 01:25 |  1.22E-5 |  -4.87 |  0 |   15.24  | 2075-2121 |  6.50E-5 |  -4.19 |
2024RB3                    |   11 |    *    | 2117-09-09 13:29 |  3.42E-4 |  -4.87 |  0 |   17.86  | 2082-2122 |  3.45E-4 |  -4.87 |
2012EK5                    |   28 |    *    | 2095-03-24 11:39 |  2.76E-5 |  -4.88 |  0 |   18.81  | 2074-2111 |  3.72E-5 |  -4.73 |
2021EJ3                    |   10 |    *    | 2078-03-12 23:40 |  4.15E-4 |  -4.90 |  0 |   11.39  | 2078-2123 |  1.19E-3 |  -4.55 |
2022VE1                    |   50 |    *    | 2099-06-22 06:43 |  5.27E-6 |  -4.91 |  0 |   20.51  | 2068-2118 |  1.13E-5 |  -4.56 |
2007WP3                    |   70 |    *    | 2105-11-12 07:30 |  3.61E-6 |  -4.91 |  0 |   17.17  | 2098-2114 |  6.60E-6 |  -4.65 |
2016DK1                    |   12 |    *    | 2043-02-18 02:16 |  9.68E-5 |  -4.91 |  0 |   13.13  | 2043-2120 |  3.30E-4 |  -4.59 |
2020HB3                    |   30 |    *    | 2121-05-04 23:07 |  2.30E-5 |  -4.94 |  0 |   15.98  | 2105-2121 |  2.76E-5 |  -4.86 |
2002RB182                  |   80 |    *    | 2110-09-27 05:18 |  1.45E-6 |  -4.95 |  0 |   18.62  | 2055-2120 |  6.37E-6 |  -4.27 |
2010QG2                    |   38 |         | 2051-09-05 09:15 |  3.20E-6 |  -4.95 |  0 |   17.06  | 2051-2064 |  3.46E-6 |  -4.92 |
2018GR4                    |   14 |    *    | 2058-03-07 07:09 |  1.37E-4 |  -4.96 |  0 |   11.48  | 2058-2120 |  1.56E-4 |  -4.92 |
2020DF3                    |   50 |    *    | 2074-02-22 06:51 |  1.82E-6 |  -4.96 |  0 |   29.04  | 2065-2074 |  2.24E-6 |  -4.86 |
2011AM37                   |    4 |    *    | 2048-01-11 10:06 |  1.68E-3 |  -4.96 |  0 |   11.76  | 2048-2108 |  4.06E-3 |  -4.58 |
2023SY5                    |   11 |    *    | 2089-09-22 15:36 |  2.28E-4 |  -4.96 |  0 |   15.68  | 2089-2089 |  2.28E-4 |  -4.96 |
2024JR1                    |   10 |    *    | 2076-05-07 09:11 |  1.75E-4 |  -4.97 |  0 |   17.12  | 2076-2085 |  1.77E-4 |  -4.97 |
2022UV15                   |   23 |    *    | 2118-10-30 02:46 |  5.34E-5 |  -4.97 |  0 |   15.91  | 2075-2122 |  9.72E-5 |  -4.68 |
2007TC14                   |  130 |    *    | 2082-10-22 10:10 |  2.35E-7 |  -4.97 |  0 |   27.89  | 2082-2082 |  2.35E-7 |  -4.97 |
2020BW5                    |   19 |    *    | 2046-06-12 18:28 |  2.96E-5 |  -4.97 |  0 |   14.15  | 2046-2121 |  3.80E-5 |  -4.92 |
2012VE77                   |   19 |    *    | 2033-11-17 12:48 |  7.76E-6 |  -4.97 |  0 |   18.97  | 2033-2035 |  9.09E-6 |  -4.91 |
2016NL39                   |   11 |    *    | 2079-06-29 20:02 |  3.34E-4 |  -4.98 |  0 |   11.85  | 2055-2121 |  4.67E-4 |  -4.84 |
2015XA378                  |   25 |    *    | 2107-12-20 18:54 |  2.95E-5 |  -4.99 |  0 |   21.09  | 2084-2121 |  5.51E-5 |  -4.72 |
2021YW                     |   40 |    *    | 2101-12-24 14:26 |  7.56E-6 |  -4.99 |  0 |   27.36  | 2093-2109 |  2.24E-5 |  -4.52 |
